epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6397,1.09789,0.92289,1.09456,0.60587,0.38551,0.38058,0.23417,1.90732,1.85719,1.5671,0.000547118,0.000547118,0.000547118
2,33.2853,1.2223,0.96291,1.14378,0.56397,0.36903,0.38606,0.21702,2.06511,1.77339,1.6284,0.00109733,0.00109733,0.00109733
3,49.7952,1.34023,1.08429,1.16196,0.55112,0.36847,0.3527,0.18085,2.17739,2.05996,1.6408,0.00164203,0.00164203,0.00164203
4,66.9439,1.40756,1.17048,1.18875,0.50835,0.36815,0.37888,0.17711,2.17784,1.95435,1.67764,0.00164225,0.00164225,0.00164225
5,83.0605,1.40213,1.15374,1.18721,0.56014,0.32846,0.34034,0.17041,2.21525,1.974,1.67371,0.00163399,0.00163399,0.00163399
6,99.2391,1.38332,1.1155,1.18947,0.42659,0.40598,0.31964,0.16172,2.22252,2.1759,1.71496,0.00162574,0.00162574,0.00162574
7,116.423,1.43613,1.20021,1.20461,0.57755,0.32055,0.32229,0.15695,2.23369,2.21834,1.72507,0.00161749,0.00161749,0.00161749
8,132.332,1.44009,1.21761,1.20925,0.44745,0.36105,0.32471,0.14614,2.29851,2.16713,1.74518,0.00160924,0.00160924,0.00160924
9,148.129,1.4377,1.16605,1.19914,0.45224,0.25362,0.2401,0.11799,2.38602,2.40529,1.73559,0.00160099,0.00160099,0.00160099
10,164.038,1.36876,1.13112,1.17281,0.4569,0.32574,0.32197,0.15063,2.20516,2.09036,1.70835,0.00159274,0.00159274,0.00159274
11,180.848,1.39572,1.10533,1.17208,0.5088,0.31809,0.31273,0.13941,2.23551,2.11987,1.72727,0.00158448,0.00158448,0.00158448
12,197.6,1.36105,1.1145,1.1844,0.46694,0.32525,0.3294,0.14793,2.24616,1.99187,1.72325,0.00157623,0.00157623,0.00157623
13,213.648,1.45525,1.17915,1.22326,0.44445,0.32104,0.26385,0.12543,2.26356,2.12794,1.69191,0.00156798,0.00156798,0.00156798
14,230.021,1.44793,1.16813,1.19792,0.47148,0.33364,0.32429,0.15086,2.19845,1.99682,1.65708,0.00155973,0.00155973,0.00155973
15,246.568,1.45009,1.17245,1.205,0.40606,0.35586,0.29107,0.13299,2.30018,2.13869,1.73086,0.00155148,0.00155148,0.00155148
16,262.814,1.46497,1.17295,1.21364,0.422,0.365,0.3078,0.12268,2.31263,2.12008,1.65294,0.00154323,0.00154323,0.00154323
17,279.64,1.42018,1.14534,1.17439,0.34001,0.4018,0.33227,0.14002,2.2695,2.09952,1.74404,0.00153497,0.00153497,0.00153497
18,297.832,1.43088,1.2051,1.18882,0.393,0.37883,0.32545,0.14283,2.28216,2.05886,1.72314,0.00152672,0.00152672,0.00152672
19,315.84,1.42443,1.13898,1.17987,0.46364,0.35389,0.29891,0.12523,2.35853,2.18781,1.78941,0.00151847,0.00151847,0.00151847
20,333.078,1.40939,1.09298,1.18019,0.54782,0.30277,0.32236,0.1431,2.32128,2.12781,1.78418,0.00151022,0.00151022,0.00151022
21,350.708,1.44597,1.13041,1.1758,0.3508,0.30549,0.25718,0.12745,2.346,2.20976,1.81006,0.00150197,0.00150197,0.00150197
22,368.074,1.39081,1.12469,1.18366,0.46406,0.32451,0.32928,0.13493,2.27234,2.11674,1.77512,0.00149372,0.00149372,0.00149372
23,385.587,1.39203,1.10585,1.20291,0.49305,0.29091,0.2881,0.11662,2.31208,2.10432,1.72692,0.00148546,0.00148546,0.00148546
24,403.345,1.40737,1.07611,1.16907,0.46044,0.3697,0.31829,0.13697,2.31617,2.1278,1.71826,0.00147721,0.00147721,0.00147721
25,421.291,1.3591,1.07553,1.17176,0.42603,0.40426,0.32443,0.13598,2.32664,2.24595,1.74564,0.00146896,0.00146896,0.00146896
26,438.776,1.442,1.10346,1.18412,0.49145,0.33808,0.28547,0.1177,2.34664,2.32569,1.73891,0.00146071,0.00146071,0.00146071
27,456.188,1.37168,1.06958,1.15043,0.40693,0.3307,0.30668,0.12478,2.38556,2.2921,1.7625,0.00145246,0.00145246,0.00145246
28,473.687,1.38178,1.02714,1.15323,0.32329,0.29192,0.22857,0.10799,2.39528,2.38303,1.78533,0.00144421,0.00144421,0.00144421
29,491.099,1.39333,1.08016,1.17595,0.30227,0.28674,0.22968,0.09707,2.35059,2.26444,1.77078,0.00143595,0.00143595,0.00143595
30,509.159,1.3806,1.07526,1.14942,0.3113,0.3487,0.25598,0.11964,2.28385,2.33322,1.72885,0.0014277,0.0014277,0.0014277
31,526.876,1.35161,1.04751,1.14773,0.47654,0.31043,0.26793,0.12466,2.2683,2.24734,1.70023,0.00141945,0.00141945,0.00141945
