epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1582.99,2.30399,2.9548,2.00587,0.13451,0.1039,0.06163,0.0178,2.70245,3.19538,2.18602,0.00144145,0.00144145,0.00144145
43,1619.17,2.28382,2.95791,1.96554,0.14855,0.12157,0.06779,0.02108,2.77115,2.96615,2.24393,0.00143595,0.00143595,0.00143595
44,1658.11,2.28792,2.93508,1.97621,0.12083,0.12157,0.06082,0.01724,2.6877,3.02444,2.16915,0.00143045,0.00143045,0.00143045
45,1694.41,2.26943,2.85508,1.95841,0.14928,0.13492,0.06201,0.01727,2.70658,3.07348,2.17639,0.00142495,0.00142495,0.00142495
46,1730.98,2.26363,2.869,1.94402,0.19712,0.13203,0.08737,0.0277,2.66933,3.01914,2.14095,0.00141945,0.00141945,0.00141945
47,1770.27,2.3019,2.97079,1.99833,0.12582,0.09506,0.06745,0.01924,2.69836,3.14952,2.17588,0.00141395,0.00141395,0.00141395
48,1806.26,2.29362,2.93367,1.98577,0.11797,0.10713,0.05062,0.01477,2.79796,3.06424,2.19105,0.00140845,0.00140845,0.00140845
49,1842.71,2.27251,2.88939,1.95601,0.15649,0.08712,0.0748,0.02132,2.65765,3.01334,2.15397,0.00140295,0.00140295,0.00140295
50,1878.83,2.24801,2.85369,1.96967,0.12893,0.12013,0.07982,0.02581,2.71812,2.91515,2.21471,0.00139745,0.00139745,0.00139745
51,1915.15,2.27373,2.86969,1.9897,0.15359,0.14074,0.0896,0.03146,2.65815,3.00562,2.18144,0.00139195,0.00139195,0.00139195
52,1954.48,2.26137,2.83805,1.96536,0.15361,0.1131,0.06439,0.01703,2.68379,3.01262,2.15188,0.00138644,0.00138644,0.00138644
53,1990.87,2.26104,2.88758,1.96059,0.07988,0.1132,0.0447,0.01165,2.62809,3.77004,2.0974,0.00138094,0.00138094,0.00138094
54,2027.17,2.21495,2.81769,1.90574,0.16843,0.13943,0.09442,0.02847,2.67576,2.97849,2.15842,0.00137544,0.00137544,0.00137544
55,2063.57,2.22636,2.77978,1.93707,0.18592,0.12807,0.0817,0.02982,2.71174,2.88998,2.17416,0.00136994,0.00136994,0.00136994
56,2099.88,2.2095,2.75573,1.91285,0.1422,0.14412,0.06451,0.02083,2.61691,2.97239,2.13302,0.00136444,0.00136444,0.00136444
57,2136.27,2.18733,2.77359,1.90282,0.16547,0.14033,0.08234,0.02458,2.55661,3.03033,2.07542,0.00135894,0.00135894,0.00135894
58,2172.8,2.19886,2.79774,1.92144,0.12664,0.10408,0.06876,0.02109,2.67011,2.97776,2.11844,0.00135344,0.00135344,0.00135344
59,2209.56,2.19483,2.77755,1.93239,0.17031,0.16216,0.08376,0.02545,2.71657,2.90593,2.17699,0.00134794,0.00134794,0.00134794
